,ds,yhat,yhat_lower,yhat_upper
0,2018-01-01,6133.083926966298,932.742145008736,11603.452633521078
1,2018-01-02,6481.675008911989,1465.5995670222173,12054.222718359784
2,2018-01-03,6916.976382950879,1604.5501006214313,12372.784917792436
3,2018-01-04,7211.412550403138,2269.068544381067,12653.611793334034
4,2018-01-05,7609.489178416288,2411.5092849270773,13308.56902188743
5,2018-01-06,7904.529869101501,2485.662006585388,13541.634361513174
6,2018-01-07,8091.011027384351,2313.6958513013647,13345.123488128425
7,2018-01-08,8315.637899092144,2971.903175531653,13369.92545815061
8,2018-01-09,8416.414550334077,3081.824944630431,14065.231293045994
9,2018-01-10,8587.79862988421,3486.4910799084446,14487.823888179171
10,2018-01-11,8607.24546739109,3125.9264200063917,13574.516595163628
11,2018-01-12,8724.557201716114,3416.4563283803145,14268.559320992448
12,2018-01-13,8738.505117864077,3023.9286351355754,14349.681990874233
13,2018-01-14,8649.045437183468,3482.279886684663,14112.071782602658
14,2018-01-15,8608.274454497065,2569.2756669688283,14188.244643901018
15,2018-01-16,8459.378685110394,2970.842132062149,13889.155801034032
16,2018-01-17,8401.673752114326,3381.3853975861325,13639.193561312219
17,2018-01-18,8217.039379017775,2399.5039300695635,13876.452128017858
18,2018-01-19,8159.168845892518,2661.145308602778,13495.145714034124
19,2018-01-20,8030.103534606895,2663.6487937418347,13253.736570649457
20,2018-01-21,7832.374974933688,2449.354158342256,12949.768942414852
21,2018-01-22,7719.902115959145,2312.3223696445502,13118.411739966028
22,2018-01-23,7536.900932274247,2214.392553353736,12806.239803269471
23,2018-01-24,7482.901119357346,1874.779596914703,12678.659024435625
24,2018-01-25,7339.17781729722,1505.0511719862561,12617.356905945053
25,2018-01-26,7358.016829125514,1850.9315498521723,12669.734812037721
26,2018-01-27,7339.283597559123,1854.4470430347171,12646.451666199306
27,2018-01-28,7282.617528215476,1623.4781771357773,12533.93103913705
28,2018-01-29,7338.39811824911,1881.7885844080504,12568.341096551667
29,2018-01-30,7346.738323895495,1543.8585069916953,13058.183526586556
30,2018-01-31,7502.597877072288,2035.9850348506618,12908.453636987346
31,2018-02-01,7582.32212907083,1808.1857144012374,13131.600394632344
32,2018-02-02,7833.022269607622,2200.5122725410624,13221.49939666431
33,2018-02-03,8049.264376410865,2778.818418314741,13623.281873282112
34,2018-02-04,8225.385955648353,2621.6584088810237,13623.098355525062
35,2018-02-05,8506.583459499676,3240.71745703419,14262.193397769393
36,2018-02-06,8728.02327238325,3466.997450283432,14527.865476674304
37,2018-02-07,9080.066039185718,3504.104138437821,14402.192826266006
38,2018-02-08,9334.90725367627,4036.142819635441,14711.777600627689
39,2018-02-09,9736.047539447656,4250.736028704069,15213.651244191737
40,2018-02-10,10075.057967138058,4968.745252727965,15538.13313469962
41,2018-02-11,10343.95731379301,4704.900626066693,15708.920050338571
42,2018-02-12,10686.343396316599,5127.449205960229,16219.418477643936
43,2018-02-13,10936.53004882927,5692.588699693613,16153.118695205489
44,2018-02-14,11284.779145325294,5830.379619977684,17085.946958401488
45,2018-02-15,11503.930602339358,6141.192405953235,17358.355827230836
46,2018-02-16,11838.844208147011,6415.892863364287,16996.75515961464
47,2018-02-17,12083.119566413683,6327.202443940063,17596.546182534654
48,2018-02-18,12231.412361158666,6368.91886332399,17381.928772631138
49,2018-02-19,12430.4907841214,6541.74733647386,17932.692841309214
50,2018-02-20,12518.285735481599,6832.243501153912,17948.111438376687
51,2018-02-21,12689.026525728576,7574.253691250543,18231.55711300824
52,2018-02-22,12719.76753347273,7637.2785402650925,18033.68568043891
53,2018-02-23,12859.722400243618,7399.823998095672,18149.983785371995
54,2018-02-24,12906.874781191447,7399.536311622474,18134.056124206072
55,2018-02-25,12860.186660520489,7312.205688399369,18190.200566403055
