,ds,y
0,2018-01-01,13432.918
1,2018-01-02,14746.112
2,2018-01-03,15101.994
3,2018-01-04,15154.76
4,2018-01-05,16949.879999999994
5,2018-01-06,17117.4425
6,2018-01-07,16158.133999999998
7,2018-01-08,14965.174
8,2018-01-09,14445.22
9,2018-01-10,14900.742000000002
10,2018-01-11,13268.79
11,2018-01-12,13782.484
12,2018-01-13,14233.503333333332
13,2018-01-14,13587.838333333331
14,2018-01-15,13567.566666666668
15,2018-01-16,11228.081666666669
16,2018-01-17,11097.348333333332
17,2018-01-18,11150.153333333335
18,2018-01-19,11519.118333333332
19,2018-01-20,12777.483333333332
20,2018-01-21,11529.506666666668
21,2018-01-22,10787.840000000002
22,2018-01-23,10819.316666666668
23,2018-01-24,11376.668333333331
24,2018-01-25,11157.056666666664
25,2018-01-26,11086.44
26,2018-01-27,11420.443333333336
27,2018-01-28,11733.851666666667
28,2018-01-29,11193.161280896667
29,2018-01-30,10092.391666666668
30,2018-01-31,10194.67960379
31,2018-02-01,9120.283333333333
32,2018-02-02,8843.308333333332
33,2018-02-03,9206.75
34,2018-02-04,8173.251666666668
35,2018-02-05,6905.048333333332
36,2018-02-06,7684.926666666666
37,2018-02-07,7584.878333333332
38,2018-02-08,8245.16
39,2018-02-09,8686.098000000002
40,2018-02-10,8550.496000000001
41,2018-02-11,8066.9749999999985
42,2018-02-12,8896.201666666668
43,2018-02-13,8523.936666666666
44,2018-02-14,9462.591666666667
45,2018-02-15,10013.813333333334
46,2018-02-16,10174.495
47,2018-02-17,11079.026666666668
48,2018-02-18,10400.468333333332
49,2018-02-19,11158.85
50,2018-02-20,11223.739999999998
51,2018-02-21,10450.493333333334
52,2018-02-22,9829.346666666666
53,2018-02-23,10149.758333333331
54,2018-02-24,9684.395
55,2018-02-25,9586.57
56,2018-02-26,10319.181666666664
57,2018-02-27,10566.4373395
58,2018-02-28,10320.103333333333
59,2018-03-01,10911.281666666666
60,2018-03-02,11026.138333333334
61,2018-03-03,11447.826666666666
62,2018-03-04,11497.553333333335
63,2018-03-05,11426.441666666666
64,2018-03-06,10721.193333333336
65,2018-03-07,9906.75
66,2018-03-08,9287.645
67,2018-03-09,9232.116666666669
68,2018-03-10,8776.88
69,2018-03-11,9529.255
70,2018-03-12,9124.426666666666
71,2018-03-13,9142.436666666666
72,2018-03-14,8187.386666666665
73,2018-03-15,8251.145
74,2018-03-16,8259.246666666668
75,2018-03-17,7846.625
76,2018-03-18,8187.271666666666
77,2018-03-19,8602.723333333335
78,2018-03-20,8903.89
79,2018-03-21,8889.4
80,2018-03-22,8713.391666666668
81,2018-03-23,8912.130003131666
82,2018-03-24,8533.811666666666
83,2018-03-25,8454.44
84,2018-03-26,8139.815
85,2018-03-27,7789.735
86,2018-03-28,7942.018333333333
87,2018-03-29,7086.77
88,2018-03-30,6839.368333333333
89,2018-03-31,6924.745
90,2018-04-01,6813.906
91,2018-04-02,7053.421666666666
92,2018-04-03,7412.101666666666
93,2018-04-04,6793.8533333333335
94,2018-04-05,6771.8983333333335
95,2018-04-06,6613.02
96,2018-04-07,6896.718333333334
97,2018-04-08,7020.483333333333
